Site,lat,long,State,Corynorhinus rafinesquii,Corynorhinus townsendii,Eptesicus fuscus,Myotis austroriparius,Myotis grisescens,Myotis leibi,Myotis lucifugus,Myotis septentrionalis,Myotis sodalis,Perimyotis subflavus
Atkinson Mine,42.801114,-90.862424,WI,0,0,0,0,0,0,1,0,0,0
Bay City,44.590169,-92.426573,WI,0,0,0,0,0,0,1,0,0,0
Brushy Branch Well,33.15713,-93.095029,AR,1,0,0,0,0,0,0,0,0,0
Carrell 3 bridge,36.393372,-93.63544,AR,0,0,0,0,0,1,0,0,0,0
Casparis Mine,39.977842,-79.548311,PA,0,0,0,0,0,1,0,0,0,0
Cobb Cave,42.961884,-90.322151,WI,0,0,1,0,0,0,0,0,0,0
Cookstove Cave,37.146481,-91.344321,MO,0,0,0,0,0,0,0,0,1,1
Cool Springs,36.849282,-87.726408,KY,0,0,0,0,1,0,0,0,1,1
Eagle Cave,43.243359,-90.539901,WI,0,0,0,0,0,0,1,0,0,0
Eagle CaveNY,43.692423,-74.210786,NY,0,0,0,0,0,0,1,0,0,0
Franklin 1 bridge,35.493233,-93.819211,AR,0,0,0,0,0,1,0,0,0,0
Germania,46.446388,-90.187777,WI,0,0,0,0,0,0,0,1,0,0
Kickapoo Indian Caverns,43.095812,-90.95934,WI,0,0,0,0,0,0,0,1,0,0
Madison 2 bridge,36.077927,-93.77235,AR,0,0,0,0,0,1,0,0,0,0
Madison 3 bridge,36.101163,-93.713728,AR,0,0,0,0,0,1,0,0,0,0
Maribel New Hope,44.286713,-87.769786,WI,0,0,0,0,0,0,0,1,0,0
Newton 1 bridge,35.982162,-93.042277,AR,0,0,0,0,0,1,0,0,0,0
Newton 4 bridge,36.003689,-93.080729,AR,0,0,0,0,0,1,0,0,0,0
Newton Storm Drain,41.704849,-93.055127,IA,0,0,1,0,0,0,0,0,0,0
Poe Paddy,40.830404,-77.412033,PA,0,0,1,0,0,1,0,0,0,0
Pope 1 bridge,35.310092,-93.160506,AR,0,0,0,0,0,1,0,0,0,0
Pop's Cave,43.385715,-90.600038,WI,0,0,0,0,0,0,0,1,0,0
Saltpetre Cave,34.824214,-87.315647,AL,0,0,0,1,0,0,0,0,0,0
Sanders Cave,31.409767,-86.845479,AL,0,0,0,1,1,0,0,0,0,1
Sauta Cave,34.612439,-86.131738,AL,0,0,0,0,1,0,0,0,1,1
Schoolhouse Cave,38.780446,-79.393566,WV,0,1,1,0,0,0,0,0,0,0
Sclliuan Well,33.264393,-93.26954,AR,1,0,0,0,0,0,0,0,0,0
Selman Living lab,36.712094,-99.256618,OK,0,0,0,0,0,0,0,0,0,1
Sinnett Cave,38.521023,-79.386511,WV,0,1,0,0,0,0,0,0,0,0
Star Valley Cave,42.874781,-89.919731,WI,0,0,0,0,0,0,0,1,0,1
Washington S bridge,36.071446,-94.141364,AR,0,0,0,0,0,1,0,0,0,0
Williams Preserve Mine,41.981809,-74.039278,NY,0,0,0,0,0,0,1,0,0,0
Yellow River,31.19045,-86.354118,AL,0,0,0,1,0,0,0,0,0,1
